Zeit;Kanal A
(ms);(V)

-5,00007698;1,03054261
-4,99997298;1,03054261
-4,99986898;1,03054261
-4,99976498;1,03054261
-4,99966098;1,03054261
-4,99955698;1,03054261
-4,99945298;1,03054261
-4,99934898;1,03054261
-4,99924498;0,98379058
-4,99914098;1,03054261
-4,99903698;1,03054261
-4,99893298;0,98379058
-4,99882898;0,98379058
-4,99872498;1,03054261
-4,99862098;1,03054261
-4,99851698;1,03054261
-4,99841298;1,03054261
-4,99830898;1,03054261
-4,99820498;1,03054261
-4,99810098;0,98379058
-4,99799698;1,03054261
-4,99789298;1,03054261
-4,99778898;1,03054261
-4,99768498;1,03054261
-4,99758098;0,98379058
-4,99747698;1,03054261
-4,99737298;0,98379058
-4,99726898;0,98379058
-4,99716498;1,03054261
-4,99706098;0,98379058
-4,99695698;0,98379058
-4,99685298;1,03054261
-4,99674898;1,03054261
-4,99664498;1,03054261
-4,99654098;1,03054261
-4,99643698;0,98379058
-4,99633298;0,98379058
-4,99622898;1,03054261
-4,99612498;1,03054261
-4,99602098;0,98379058
-4,99591698;1,03054261
-4,99581298;1,03054261
-4,99570898;0,98379058
-4,99560498;1,03054261
-4,99550098;1,03054261
-4,99539698;0,98379058
-4,99529298;0,98379058
-4,99518898;0,98379058
-4,99508498;0,98379058
-4,99498098;0,98379058
-4,99487698;1,03054261
-4,99477298;1,03054261
-4,99466898;1,03054261
-4,99456498;1,03054261
-4,99446098;1,03054261
-4,99435698;1,03054261
-4,99425298;1,03054261
-4,99414898;1,03054261
-4,99404498;1,03054261
-4,99394098;0,98379058
-4,99383698;1,03054261
-4,99373298;0,98379058
-4,99362898;0,98379058
-4,99352498;1,03054261
-4,99342098;0,98379058
-4,99331698;0,98379058
-4,99321298;1,03054261
-4,99310898;0,98379058
-4,99300498;0,98379058
-4,99290098;0,98379058
-4,99279698;0,98379058
-4,99269298;1,03054261
-4,99258898;1,03054261
-4,99248498;0,98379058
-4,99238098;0,98379058
-4,99227698;1,03054261
-4,99217298;1,03054261
-4,99206898;1,03054261
-4,99196498;1,03054261
-4,99186098;1,03054261
-4,99175698;1,03054261
-4,99165298;1,03054261
-4,99154898;0,98379058
-4,99144498;0,98379058
-4,99134098;0,98379058
-4,99123698;0,98379058
-4,99113298;0,98379058
-4,99102898;1,03054261
-4,99092498;1,03054261
-4,99082098;1,03054261
-4,99071698;0,98379058
-4,99061298;1,03054261
-4,99050898;1,03054261
-4,99040498;0,98379058
-4,99030098;0,98379058
-4,99019698;1,03054261
-4,99009298;0,98379058
-4,98998898;0,98379058
-4,98988498;1,03054261
-4,98978098;1,03054261
-4,98967698;1,03054261
-4,98957298;1,03054261
-4,98946898;0,98379058
-4,98936498;0,98379058
-4,98926098;0,98379058
-4,98915698;1,03054261
-4,98905298;1,03054261
-4,98894898;1,03054261
-4,98884498;1,03054261
-4,98874098;1,03054261
-4,98863698;0,98379058
-4,98853298;1,03054261
-4,98842898;1,03054261
-4,98832498;1,03054261
-4,98822098;1,03054261
-4,98811698;1,03054261
-4,98801298;1,03054261
-4,98790898;0,98379058
