Zeit;Kanal A
(ms);(mV)

-25,00999905;-8,39997482
-25,00499905;-8,39997482
-24,99999905;-8,86749458
-24,99499905;-8,86749458
-24,98999905;-10,26697731
-24,98499905;-9,80099583
-24,97999905;-10,26697731
-24,97499905;-10,26697731
-24,96999905;-10,73449707
-24,96499905;-10,26697731
-24,95999905;-11,66799831
-24,95499905;-10,73449707
-24,94999905;-12,60150051
-24,94499905;-13,06748199
-24,93999905;-13,53500175
-24,93499905;-14,46850300
-24,92999905;-14,00098324
-24,92499905;-14,93448448
-24,91999905;-14,46850300
-24,91499905;-14,00098324
-24,90999905;-13,53500175
-24,90499905;-13,06748199
-24,89999905;-12,60150051
-24,89499905;-11,66799831
-24,88999905;-10,73449707
-24,88499905;-8,86749458
-24,87999905;-8,86749458
-24,87499906;-6,53297186
-24,86999906;-5,59947062
-24,86499906;-5,13348866
-24,85999906;-3,73246789
-24,85499906;-3,26648593
-24,84999906;-4,19998741
-24,84499906;-4,19998741
-24,83999906;-6,53297186
-24,83499906;-5,13348866
-24,82999906;-7,00049162
-24,82499906;-8,39997482
-24,81999906;-9,33347607
-24,81499906;-9,80099583
-24,80999906;-10,26697731
-24,80499906;-11,20047951
-24,79999906;-10,73449707
-24,79499906;-10,26697731
-24,78999906;-10,26697731
-24,78499906;-9,80099583
-24,77999906;-9,33347607
-24,77499906;-9,33347607
-24,76999906;-8,39997482
-24,76499906;-8,39997482
-24,75999906;-7,46647358
-24,75499906;-7,46647358
-24,74999906;-7,00049162
-24,74499906;-5,59947062
-24,73999906;-6,06699038
-24,73499906;-5,13348866
-24,72999906;-5,13348866
-24,72499906;-5,59947062
-24,71999906;-4,19998741
-24,71499906;-5,13348866
-24,70999906;-4,66596889
-24,70499906;-4,19998741
-24,69999906;-4,19998741
-24,69499906;-18,20096970
-24,68999906;-3,26648593
-24,68499906;-3,26648593
-24,67999906;-3,73246789
-24,67499906;-4,19998741
-24,66999906;-3,73246789
-24,66499906;-4,66596889
-24,65999906;-5,13348866
-24,65499906;-5,13348866
