Zeit;Kanal A
(ms);(mV)

-25,00999905;-13,05517864
-25,00499905;-13,52116013
-24,99999905;-13,05517864
-24,99499905;-13,52116013
-24,98999905;-13,05517864
-24,98499905;-13,05517864
-24,97999905;-13,52116013
-24,97499905;-13,05517864
-24,96999905;-13,05517864
-24,96499905;-11,18971348
-24,95999905;-12,58765888
-24,95499905;-12,58765888
-24,94999905;-12,12167740
-24,94499905;-10,72373199
-24,93999905;-10,72373199
-24,93499905;-10,25621223
-24,92999905;-10,25621223
-24,92499905;-9,32424927
-24,91999905;-9,32424927
-24,91499905;-6,99280214
-24,90999905;-8,39228535
-24,90499905;-7,92630339
-24,89999905;-7,45878410
-24,89499905;-4,66135550
-24,88999905;-6,99280214
-24,88499905;-6,99280214
-24,87999905;-6,52682066
-24,87499906;-6,06083870
-24,86999906;-6,06083870
-24,86499906;-6,06083870
-24,85999906;-6,06083870
-24,85499906;-5,59485674
-24,84999906;-6,52682066
-24,84499906;-6,52682066
-24,83999906;-6,06083870
-24,83499906;-6,52682066
-24,82999906;-6,52682066
-24,82499906;-6,06083870
-24,81999906;-6,06083870
-24,81499906;-6,06083870
-24,80999906;-6,06083870
-24,80499906;-6,52682066
-24,79999906;-6,06083870
-24,79499906;-6,06083870
-24,78999906;-5,12733746
-24,78499906;-5,12733746
-24,77999906;-5,12733746
-24,77499906;-3,72939205
-24,76999906;-3,72939205
-24,76499906;-4,19537354
-24,75999906;-3,72939205
-24,75499906;-3,72939205
-24,74999906;-3,26341033
-24,74499906;-3,72939205
-24,73999906;-3,26341033
-24,73499906;-2,32990885
-24,72999906;-0,46598175
-24,72499906;-1,39794528
-24,71999906;-1,39794528
-24,71499906;0,46598175
-24,70999906;0,00000000
-24,70499906;1,39794528
-24,69999906;1,39794528
-24,69499906;3,26341033
-24,68999906;4,19537354
-24,68499906;4,19537354
-24,67999906;5,59485674
-24,67499906;6,06083870
-24,66999906;6,99280214
-24,66499906;7,92630339
-24,65999906;9,32424927
-24,65499906;9,32424927
-24,64999906;10,25621223
