Zeit;Kanal A;Kanal B
(ms);(V);(V)

-10,00992312;0,00000000;0,00000000
-9,99399512;1,02036166;0,01728592
-9,97806712;1,02036166;0,27749753
-9,96213912;1,02036166;0,71118355
-9,94621112;1,02036166;1,21419787
-9,93028312;1,02036166;1,64782238
-9,91435512;1,03795516;1,89068651
-9,89842712;1,03795516;1,90803397
-9,88249913;1,03795516;1,68251717
-9,86657113;1,05554867;1,30093503
-9,85064313;1,05554867;0,86724901
-9,83471513;1,03795516;0,48566684
-9,81878713;1,03795516;0,27749753
-9,80285913;1,03795516;0,29484499
-9,78693113;1,02036166;0,50301427
-9,77100313;1,02036166;0,84990156
-9,75507513;1,02036166;1,23154533
-9,73914713;1,02036166;1,54373765
-9,72321914;1,03795516;1,69986463
-9,70729114;1,03795516;1,68251717
-9,69136314;1,03795516;1,49169540
-9,67543514;1,05554867;1,17950296
-9,65950714;1,03795516;0,84990156
-9,64357914;1,03795516;0,57240403
-9,62765114;1,03795516;0,45097196
-9,61172314;1,03795516;0,48566684
-9,59579514;1,02036166;0,67648870
-9,57986715;1,02036166;0,95398623
-9,56393915;1,02036166;1,23154533
-9,54801115;1,03795516;1,45706201
-9,53208315;1,03795516;1,54373765
-9,51615515;1,03795516;1,50904286
-9,50022715;1,03795516;1,33562994
-9,48429915;1,03795516;1,09276569
-9,46837115;1,03795516;0,84990156
-9,45244315;1,03795516;0,65914124
-9,43651516;1,03795516;0,58975148
-9,42058716;1,03795516;0,64179379
-9,40465916;1,02036166;0,79785925
-9,38873116;1,02036166;1,02337599
-9,37280316;1,03795516;1,23154533
-9,35687516;1,03795516;1,37032485
-9,34094716;1,03795516;1,42236710
-9,32501916;1,03795516;1,37032485
-9,30909116;1,03795516;1,23154533
-9,29316317;1,03795516;1,04072344
-9,27723517;1,03795516;0,84990156
-9,26130717;1,03795516;0,74581695
-9,24537917;1,03795516;0,69383609
-9,22945117;1,03795516;0,76316434
-9,21352317;1,02036166;0,88459647
-9,19759517;1,03795516;1,05807090
-9,18166717;1,03795516;1,21419787
-9,16573917;1,03795516;1,31828249
-9,14981118;1,03795516;1,33562994
-9,13388318;1,03795516;1,26624012
-9,11795518;1,03795516;1,14480805
-9,10202718;1,03795516;1,00602853
-9,08609918;1,03795516;0,86724901
-9,07017118;1,03795516;0,78051180
-9,05424318;1,03795516;0,78051180
-9,03831518;1,03795516;0,84990156
-9,02238718;1,03795516;0,95398623
-9,00645919;1,03795516;1,07541835
-8,99053119;1,03795516;1,19685042
-8,97460319;1,03795516;1,24889266
-8,95867519;1,03795516;1,26624012
-8,94274719;1,03795516;1,19685042
-8,92681919;1,03795516;1,11011314
-8,91089119;1,03795516;0,98868108
-8,89496319;1,03795516;0,90194392
-8,87903519;1,03795516;0,84990156
-8,86310720;1,03795516;0,84990156
-8,84717920;1,03795516;0,90194392
-8,83125120;1,02036166;0,98868108
-8,81532320;1,03795516;1,09276569
-8,79939520;1,03795516;1,16215551
-8,78346720;1,03795516;1,21419787
-8,76753920;1,03795516;1,19685042
-8,75161120;1,03795516;1,14480805
-8,73568320;1,03795516;1,05807090
-8,71975521;1,03795516;0,98868108
-8,70382721;1,03795516;0,91929132
-8,68789921;1,03795516;0,88459647
-8,67197121;1,03795516;0,90194392
-8,65604321;1,03795516;0,95398623
-8,64011521;1,03795516;1,02337599
-8,62418721;1,03795516;1,09276569
-8,60825921;1,03795516;1,14480805
-8,59233121;1,03795516;1,16215551
-8,57640322;1,03795516;1,14480805
-8,56047522;1,03795516;1,11011314
-8,54454722;1,03795516;1,04072344
-8,52861922;1,03795516;0,97133368
-8,51269122;1,03795516;0,93663877
-8,49676322;1,03795516;0,91929132
-8,48083522;1,03795516;0,95398623
-8,46490722;1,03795516;0,98868108
-8,44897922;1,03795516;1,04072344
-8,43305122;1,03795516;1,09276569
-8,41712323;1,03795516;1,12746060
-8,40119523;1,03795516;1,14480805
-8,38526723;1,03795516;1,11011314
-8,36933923;1,03795516;1,07541835
-8,35341123;1,03795516;1,02337599
-8,33748323;1,03795516;0,98868108
-8,32155523;1,03795516;0,95398623
-8,30562723;1,03795516;0,95398623
-8,28969923;1,03795516;0,97133368
-8,27377124;1,03795516;1,00602853
-8,25784324;1,03795516;1,05807090
-8,24191524;1,03795516;1,09276569
-8,22598724;1,03795516;1,11011314
-8,21005924;1,03795516;1,11011314
-8,19413124;1,03795516;1,09276569
-8,17820324;1,03795516;1,05807090
-8,16227524;1,03795516;1,02337599
-8,14634724;1,03795516;0,98868108
-8,13041925;1,03795516;0,97133368
-8,11449125;1,03795516;0,97133368
